Color,Condition,Cylinders,Drive,Fuel,Make,Model,Odometer,Price,Title,Transmission_Automatic,Year
Grey,Good,8,4Wd,Gas,Toyota,Land,195000,22000,Clean,1,2004
White,Like New,0,4Wd,Electric,Bmw,X5,34700,47500,Clean,1,2018
White,Excellent,4,Fwd,Gas,Toyota,Corolla,54300,10250,Clean,1,2009
Grey,Excellent,8,Rwd,Gas,Dodge,Ram,20000,9500,Clean,1,1997
Black,Excellent,8,Rwd,Gas,Mercedes,Sl500,95000,10800,Salvage,1,2004
White,Excellent,6,Rwd,Gas,Toyota,Tundra,72000,18900,Clean,1,2012
Black,Excellent,6,Rwd,Gas,Bmw,535I,220000,5500,Clean,1,2010
Silver,Excellent,6,Fwd,Gas,Hyundai,Santa,137000,4000,Clean,1,2002
Grey,Excellent,4,4Wd,Gas,Toyota,Matrix,155389,4300,Clean,1,2003
Black,Good,4,Fwd,Gas,Toyota,Corolla,299000,2950,Clean,1,2003
Blue,Excellent,4,Fwd,Hybrid,Hyundai,Sonata,121000,8900,Clean,1,2012
Black,Excellent,4,Rwd,Gas,Honda,Civic,136793,4900,Clean,1,2008
Green,Excellent,4,Fwd,Hybrid,Toyota,Prius,190000,5900,Clean,1,2007
White,Excellent,4,Fwd,Gas,Toyota,Corolla,70000,16300,Clean,1,2018
Grey,Like New,6,Fwd,Gas,Lexus,Rx350,22450,29495,Salvage,1,2018
White,Like New,6,Fwd,Gas,Chevrolet,Silverado,40000,21900,Salvage,1,2014
Black,Excellent,6,Rwd,Diesel,Mercedes,E350,153000,8950,Clean,1,2012
White,Like New,8,Rwd,Gas,Toyota,Tundra,71204,17600,Clean,1,2014
Blue,Excellent,8,4Wd,Diesel,Ford,F250,188500,29500,Clean,1,2001
White,Like New,6,4Wd,Gas,Audi,A6,141000,5200,Clean,1,2007
Custom,Fair,8,Rwd,Gas,Lexus,Ls,152000,8000,Clean,1,2008
White,Excellent,4,Rwd,Gas,Ford,Ranger,135000,4250,Clean,1,1990
Silver,Salvage,4,Rwd,Gas,Honda,Civic,90000,1600,Salvage,1,2014
Black,Excellent,4,4Wd,Gas,Toyota,Corolla,80000,7500,Salvage,1,2013
Silver,Like New,6,Fwd,Gas,Honda,Odyssey,143000,3500,Clean,1,2001
Purple,Excellent,8,Rwd,Gas,Ford,Thunderbird,165514,10000,Clean,1,2004
Grey,Excellent,6,Rwd,Gas,Toyota,Tacoma,120000,13900,Clean,1,2008
Black,Excellent,4,4Wd,Gas,Hyundai,Sonata,90000,7900,Salvage,1,2016
White,Fair,6,Fwd,Gas,Chrysler,Pacifica,129000,4400,Clean,1,2005
Custom,Fair,4,Rwd,Gas,Honda,Civic,132128,2200,Clean,0,2003
Blue,Excellent,4,Fwd,Hybrid,Toyota,Prius,117000,7995,Clean,1,2008
Red,Good,6,Fwd,Gas,Lexus,Es,102214,8999,Clean,1,2007
Blue,Good,4,Rwd,Gas,Honda,S2000,138000,9000,Clean,1,2003
Grey,Excellent,4,Fwd,Gas,Toyota,Camry,77489,10500,Salvage,1,2014
White,Excellent,6,Rwd,Gas,Honda,Civic,204000,6200,Clean,0,2006
White,Excellent,6,Rwd,Gas,Gmc,Sierra,64000,22900,Clean,1,2016
Silver,Good,4,4Wd,Gas,Nissan,Altima,135000,6800,Clean,1,2015
White,Excellent,4,Fwd,Gas,Nissan,Rogue,59000,12200,Salvage,1,2017
Red,Excellent,4,Rwd,Gas,Mercedes,C300,86452,16300,Clean,1,2016
Silver,Excellent,4,Rwd,Gas,Honda,S2000,136000,22000,Clean,0,2005
Silver,Excellent,4,Fwd,Gas,Toyota,Rav4,194000,9600,Clean,1,2011
Silver,Excellent,4,Fwd,Gas,Toyota,Camry,134520,4900,Salvage,1,2007
White,Excellent,8,Rwd,Gas,Chevrolet,Corvette,187000,8900,Clean,1,1987
Black,Excellent,4,Fwd,Gas,Toyota,Corolla,34500,15999,Salvage,1,2020
Grey,Good,12,Fwd,Gas,Honda,Crv,191000,5500,Clean,1,2006
Black,Good,6,Rwd,Gas,Bmw,335I,119030,11000,Clean,1,2007
Blue,Good,6,Rwd,Gas,Honda,Odyssey,107783,5500,Clean,1,2005
Black,Like New,6,4Wd,Gas,Porsche,Macan,46578,48300,Clean,1,2017
Blue,Good,4,Fwd,Gas,Toyota,Matrix,197000,3825,Clean,1,2003
Red,Good,4,Rwd,Gas,Alfa,Romeo,76500,10900,Clean,0,1991
Green,Excellent,4,Rwd,Gas,Fiat,500,89000,7000,Clean,1,2012
Red,Fair,6,Fwd,Gas,Nissan,Murano,135000,3700,Clean,1,2007
Grey,Good,6,Fwd,Gas,Honda,Odyssey,194501,4600,Clean,1,2006
White,Excellent,8,Rwd,Gas,Nissan,Armada,188200,9500,Clean,1,2014
Black,Good,6,Fwd,Gas,Cadillac,Cts,157121,5000,Clean,1,2006
White,Excellent,4,Rwd,Gas,Mercedes,Sprinter,21139,43000,Clean,1,2021
White,Excellent,8,Rwd,Gas,Dodge,Ram,149213,12000,Clean,1,1997
Silver,Excellent,8,Fwd,Gas,Nissan,Armada,119000,8300,Clean,1,2008
Black,Excellent,4,Fwd,Gas,Chevrolet,Cruze,55000,12800,Salvage,1,2017
Green,Good,8,Rwd,Gas,Dodge,Ram,130000,3000,Clean,1,2004
Blue,Like New,6,4Wd,Gas,Dodge,Grand,118000,5500,Clean,1,2010
White,Like New,4,Rwd,Gas,Ford,Transit,47000,16500,Clean,1,2017
Brown,Like New,4,Fwd,Gas,Toyota,Corolla,20586,10790,Clean,1,2006
White,Fair,8,Rwd,Gas,Chevrolet,Camaro,89000,4200,Clean,1,1992
Custom,Excellent,6,Fwd,Gas,Lexus,Es,110000,3800,Clean,1,1999
Black,Good,4,Rwd,Gas,Mazda,Miata,65200,8800,Clean,0,2003
Grey,Good,8,Rwd,Gas,Ford,F150,109000,6800,Clean,1,2007
Black,Excellent,5,4Wd,Gas,Hummer,H3,130000,11900,Clean,1,2006
White,Good,6,4Wd,Gas,Ford,E150,172000,9000,Clean,1,1995
Red,Good,4,Fwd,Gas,Toyota,Corolla,140000,7500,Salvage,1,2014
Black,Excellent,8,4Wd,Gas,Mercedes,S500,36200,15995,Clean,1,2000
White,Excellent,8,4Wd,Gas,Dodge,Durango,165000,5300,Clean,1,1998
White,Good,6,Rwd,Diesel,Mercedes,Sprinter,301879,15000,Clean,1,2011
White,Excellent,3,Rwd,Gas,Smart,Fortwo,67000,6999,Clean,1,2013
Green,Excellent,6,Rwd,Gas,Nissan,Frontier,27270,15997,Salvage,1,2019
White,Excellent,8,4Wd,Gas,Land Rover,Range,55654,57000,Clean,1,2018
Blue,Salvage,6,Fwd,Gas,Toyota,Tacoma,47000,27900,Salvage,1,2014
