Color,Condition,Cylinders,Drive,Fuel,Make,Model,Odometer,Price,Title,Transmission_Automatic,Year
Black,Excellent,4,Fwd,Gas,Dodge,Charger,140000,9300,Rebuilt,1,2014
Brown,Good,6,Fwd,Gas,Ford,Edge,105432,13000,Clean,1,2014
White,Good,8,4Wd,Diesel,Ford,F350,330000,22000,Clean,1,1997
Custom,Good,4,Fwd,Gas,Hyundai,Elantra,48000,9000,Clean,1,2009
Black,Excellent,4,Fwd,Gas,Honda,Element,175500,9000,Clean,1,2007
Grey,Excellent,6,Fwd,Gas,Dodge,Grand,222222,4500,Clean,1,2016
White,Like New,0,4Wd,Electric,Tesla,Model 3,14000,50000,Lien,1,2022
White,Excellent,8,4Wd,Diesel,Ford,F250,233400,9500,Clean,1,2005
White,Good,6,Rwd,Gas,Chevrolet,Silverado,132000,13900,Clean,1,2013
Black,Good,4,Fwd,Gas,Ford,Focus,196000,2400,Clean,1,2007
Grey,Fair,4,Fwd,Gas,Chevrolet,Sonic,143458,5400,Clean,1,2013
Silver,Good,4,Fwd,Gas,Nissan,Versa,137000,3500,Clean,1,2009
Red,Excellent,6,Rwd,Gas,Ford,F150,89640,22784,Clean,1,2015
Custom,Good,4,Rwd,Gas,Chevrolet,S10,119500,6000,Clean,0,2001
Black,Good,5,Fwd,Gas,Volkswagen,Passat,93776,5500,Rebuilt,1,2013
White,Good,6,Rwd,Gas,Ford,Explorer,200000,4800,Clean,1,2008
Red,Excellent,6,4Wd,Gas,Land Rover,Range,96111,29000,Clean,1,2014
Red,Like New,6,Rwd,Gas,Ford,Explorer,27500,44000,Clean,1,2021
White,New,6,4Wd,Gas,Gmc,Sierra,6661,25000,Rebuilt,1,2016
Brown,Good,4,4Wd,Gas,Toyota,Land,243790,20000,Clean,0,1984
Black,Excellent,8,Rwd,Gas,Ford,Expedition,167668,8450,Clean,1,2011
Brown,Good,4,Fwd,Gas,Toyota,Corolla,137124,6995,Clean,1,2013
White,Excellent,6,Fwd,Gas,Dodge,Grand,63456,10800,Rebuilt,1,2010
White,Good,4,Fwd,Gas,Toyota,Rav4,113883,9000,Clean,1,2012
Green,Good,8,Rwd,Gas,Pontiac,Firebird,88448,7000,Clean,0,1996
Red,Like New,4,Fwd,Gas,Toyota,Camry,82500,14000,Clean,1,2013
Red,Excellent,4,Rwd,Gas,Mazda,Miata,156000,8500,Clean,1,2007
White,Good,4,Fwd,Gas,Ford,Transit,136000,8000,Clean,1,2013
White,Excellent,6,Fwd,Gas,Hyundai,Sonata,154800,5500,Clean,1,2002
White,Good,8,Rwd,Gas,Chevrolet,Silverado,70000,27500,Rebuilt,1,2018
Grey,Good,4,4Wd,Gas,Ford,F150,267000,3500,Clean,0,2002
White,Good,8,4Wd,Gas,Gmc,Sierra,3000,14500,Clean,1,1990
White,Good,8,4Wd,Gas,Chevrolet,Silverado,161000,25000,Clean,1,2016
Grey,Excellent,8,Rwd,Gas,Chevrolet,Corvette,67000,52500,Clean,1,2017
White,Good,6,Rwd,Gas,Ford,F150,94000,9900,Clean,1,2013
Black,Excellent,6,4Wd,Gas,Cadillac,Cts,108000,8000,Clean,1,2011
White,Like New,6,Rwd,Gas,Chevrolet,Express,22352,25000,Rebuilt,1,2019
White,Excellent,4,Fwd,Gas,Kia,Optima,69000,12000,Clean,1,2014
Red,Like New,8,4Wd,Diesel,Ford,F350,77000,29900,Clean,1,2001
Black,Good,4,Fwd,Gas,Dodge,Avenger,89700,8000,Clean,1,2014
Grey,Excellent,4,Fwd,Gas,Honda,Civic,100000,8500,Clean,1,2008
Silver,Good,6,4Wd,Gas,Toyota,Sienna,172000,8000,Clean,1,2015
Green,Good,8,Rwd,Gas,Chevrolet,Silverado,250000,4500,Clean,1,1998
Grey,Good,4,4Wd,Gas,Honda,Accord,200000,5900,Clean,1,2010
Red,Excellent,8,Rwd,Gas,Nissan,Titan,28767,35500,Clean,1,2017
White,Excellent,8,Rwd,Gas,Chevrolet,Silverado,255000,15000,Clean,1,2004
White,Excellent,4,Fwd,Hybrid,Toyota,Prius,127500,12900,Clean,1,2012
Silver,Excellent,6,Fwd,Gas,Lexus,Rx,178000,7800,Clean,1,2008
Black,Like New,4,Fwd,Gas,Nissan,Sentra,85000,12900,Clean,1,2017
Silver,Excellent,4,Fwd,Gas,Nissan,Versa,30000,9900,Rebuilt,1,2015
White,Excellent,4,Fwd,Gas,Gmc,Terrain,30000,24500,Rebuilt,1,2020
Silver,Excellent,8,4Wd,Gas,Chevrolet,Silverado,70000,29500,Rebuilt,1,2018
White,Excellent,5,Rwd,Gas,Ford,F150,144674,16500,Clean,1,2011
White,Like New,4,Rwd,Gas,Toyota,Tacoma,64000,17500,Clean,0,2003
Red,Excellent,6,Rwd,Gas,Ford,Mustang,104228,6500,Clean,1,2006
Grey,Like New,4,4Wd,Gas,Subaru,Outback,12650,39900,Clean,1,2022
Black,Excellent,4,Rwd,Gas,Cadillac,Ats,108000,12000,Clean,1,2013
Silver,Excellent,4,Fwd,Gas,Ford,Fusion,114000,6500,Clean,1,2013
Purple,Like New,8,Rwd,Gas,Dodge,Challenger,8760,42900,Clean,1,2014
Custom,Excellent,0,Fwd,Electric,Ford,Focus,47700,10900,Clean,1,2014
Silver,Excellent,4,Fwd,Gas,Chevrolet,Malibu,209000,3300,Clean,1,2007
White,Good,8,4Wd,Gas,Chevrolet,Silverado,186280,13000,Clean,0,1995
Black,Excellent,4,Fwd,Gas,Kia,Forte,105000,6700,Clean,1,2018
Red,Good,8,Rwd,Gas,Ford,Mustang,70200,19500,Rebuilt,0,2013
White,Excellent,8,Rwd,Gas,Dodge,Ram,180000,7500,Clean,1,2011
Silver,Excellent,0,Fwd,Electric,Nissan,Leaf,79970,9500,Clean,1,2012
Silver,Good,8,Rwd,Gas,Chevrolet,Silverado,231805,7000,Clean,1,2005
White,Excellent,8,4Wd,Gas,Chevrolet,Silverado,119000,10500,Clean,1,2002
Silver,Good,4,Fwd,Hybrid,Toyota,Prius,201000,3500,Rebuilt,1,2004
White,Good,12,Rwd,Gas,Honda,Pilot,230000,4400,Clean,1,2006
Blue,Like New,4,Rwd,Gas,Ford,Mustang,28300,31000,Clean,1,2021
Silver,Good,6,Rwd,Gas,Toyota,4Runner,263585,5200,Clean,1,2000
White,Good,6,Fwd,Gas,Dodge,Grand,145000,4900,Clean,1,2010
Grey,Fair,4,Fwd,Gas,Honda,Civic,100000,4500,Missing,0,1987
Grey,Excellent,4,Fwd,Diesel,Volkswagen,Golf,123000,9800,Clean,1,2013
Grey,Good,8,4Wd,Gas,Nissan,Titan,230000,8500,Clean,1,2006
White,Good,6,Fwd,Gas,Ford,Taurus,93350,6000,Clean,1,2006
White,Excellent,4,Fwd,Gas,Ford,F250,130000,10500,Clean,1,2000
Silver,Like New,6,Fwd,Gas,Toyota,Highlander,42500,27000,Clean,1,2015
Grey,Fair,6,Fwd,Gas,Acura,Tl,220000,3500,Clean,1,2005
Blue,Good,4,Fwd,Hybrid,Honda,Civic,168700,5900,Clean,1,2006
White,Good,8,Rwd,Gas,Ford,F150,213000,3800,Clean,1,2001
Red,Like New,8,4Wd,Gas,Ford,F250,29200,51000,Clean,1,2019
White,Excellent,6,4Wd,Gas,Chevrolet,Trailblazer,190000,4900,Clean,1,2008
White,Excellent,4,Fwd,Gas,Toyota,Camry,62000,18500,Clean,1,2017
White,Excellent,6,Fwd,Gas,Ram,Promaster,143849,19500,Clean,1,2017
White,Good,6,Fwd,Gas,Lexus,Es,187000,4250,Clean,1,1999
Grey,Excellent,8,Rwd,Gas,Ford,Crown,141000,6500,Clean,1,2006
Black,Excellent,6,4Wd,Gas,Honda,Pilot,197475,9890,Clean,1,2014
White,Good,6,4Wd,Gas,Dodge,Ram,123999,22000,Clean,1,1995
White,Like New,4,4Wd,Gas,Mercedes,C300,60000,19500,Clean,1,2015
White,Excellent,6,Fwd,Gas,Honda,Pilot,140793,12500,Rebuilt,1,2015
Black,Good,6,Fwd,Gas,Chevrolet,Impala,111125,7300,Clean,1,2015
White,Excellent,6,4Wd,Gas,Toyota,Land,172000,37900,Clean,0,1985
Black,Excellent,8,4Wd,Gas,Jeep,Patriot,145121,8700,Clean,1,2017
Blue,Excellent,6,Rwd,Gas,Nissan,Frontier,81200,18500,Clean,1,2016
White,Good,8,4Wd,Gas,Gmc,Sierra,225000,9500,Clean,1,2012
Blue,Excellent,6,Rwd,Gas,Bmw,Z4,101450,10950,Clean,1,2008
Black,Excellent,8,4Wd,Gas,Dodge,Charger,86500,8500,Clean,1,2008
Red,Fair,4,4Wd,Gas,Honda,Civic,198800,3200,Clean,1,2007
Grey,Good,4,Fwd,Gas,Honda,Accord,205000,4900,Clean,1,2005
Grey,Like New,6,Rwd,Gas,Ford,Ranger,111460,12500,Clean,1,2008
Grey,Like New,4,Rwd,Gas,Mazda,Miata,29600,17000,Clean,1,2008
White,Excellent,4,4Wd,Gas,Bmw,328I,29850,24500,Clean,1,2015
Blue,Excellent,6,4Wd,Gas,Chevrolet,S10,209000,5900,Clean,1,2002
Silver,Excellent,6,Rwd,Gas,Chevrolet,Malibu,92900,4800,Clean,1,1999
Silver,Good,6,Fwd,Gas,Honda,Accord,102000,8000,Clean,1,2007
Silver,Excellent,6,Rwd,Gas,Pontiac,G6,101000,3400,Clean,1,2008
Red,Excellent,8,4Wd,Gas,Ford,F150,213000,10500,Clean,1,2006
Grey,Excellent,4,4Wd,Gas,Honda,Accord,151000,8900,Clean,1,2009
White,Good,6,Rwd,Gas,Infiniti,Q50,137000,19500,Clean,1,2015
Grey,Excellent,8,Rwd,Gas,Toyota,Sequoia,238000,8500,Clean,1,2006
Grey,Excellent,6,4Wd,Gas,Lexus,Rx350,127000,9900,Clean,1,2007
Black,Excellent,6,4Wd,Gas,Jeep,Wrangler,110000,19990,Clean,0,2011
Grey,Good,4,Fwd,Gas,Chevrolet,Sonic,130000,1500,Clean,1,2012
Silver,Good,6,4Wd,Gas,Nissan,Xterra,215000,4750,Clean,0,2000
Black,Excellent,4,Rwd,Hybrid,Ford,Fusion,106000,11500,Clean,1,2016
White,Excellent,8,4Wd,Diesel,Ford,F350,208000,19000,Clean,1,2001
Silver,Excellent,6,Rwd,Gas,Lexus,Es,121000,12500,Clean,1,2010
Grey,Good,4,Rwd,Gas,Toyota,Tacoma,217000,6400,Clean,1,2000
Silver,Excellent,6,Rwd,Gas,Toyota,Camry,140903,10500,Clean,1,2012
White,Good,4,4Wd,Gas,Ford,Explorer,156000,1000,Clean,1,2006
Black,Salvage,6,Fwd,Gas,Dodge,Ram,290112,2200,Salvage,0,2004
Silver,Excellent,6,Rwd,Gas,Chevrolet,Trailblazer,180000,15000,Clean,1,2007
Silver,Excellent,4,Rwd,Gas,Toyota,Camry,142000,9800,Clean,1,2012
White,Good,8,Rwd,Gas,Dodge,Ram,237000,8400,Clean,1,2014
Silver,Good,6,Rwd,Gas,Toyota,Tacoma,102500,27000,Lien,1,2017
White,Good,8,4Wd,Gas,Chevrolet,Silverado,178514,9500,Clean,1,2003
Grey,Fair,4,Fwd,Gas,Chevrolet,Malibu,140000,2500,Clean,1,2009
Silver,Good,6,Fwd,Gas,Toyota,4Runner,191366,6200,Clean,1,2001
Grey,Like New,4,Fwd,Diesel,Volkswagen,Passat,98698,10995,Clean,1,2014
Black,Good,6,Rwd,Gas,Bmw,535I,139000,5000,Clean,1,2008
Brown,Excellent,4,Rwd,Gas,Buick,Encore,44000,12900,Rebuilt,1,2019
Black,Excellent,6,Fwd,Gas,Cadillac,Srx,44000,15500,Rebuilt,1,2013
White,Fair,8,4Wd,Gas,Gmc,Sierra,131000,2000,Clean,1,1997
Blue,Excellent,6,4Wd,Gas,Chevrolet,Colorado,58000,23000,Salvage,1,2018
White,Good,6,Rwd,Gas,Chevrolet,Silverado,252000,7500,Clean,1,1998
Grey,Excellent,8,Rwd,Gas,Ford,Thunderbird,125000,11000,Clean,1,2003
Silver,Excellent,6,4Wd,Gas,Jeep,Wrangler,88000,21900,Clean,1,2005
Black,Excellent,4,Rwd,Gas,Infiniti,G37,135000,11300,Clean,1,2011
White,Good,6,Rwd,Gas,Mercedes,C250,127000,5900,Clean,1,2012
Grey,Excellent,6,4Wd,Gas,Ford,Expedition,103165,24999,Clean,1,2017
White,Excellent,8,Rwd,Diesel,Ford,F250,102123,8900,Clean,1,2008
Silver,Like New,6,4Wd,Gas,Nissan,Murano,160000,4500,Clean,1,2003
White,Excellent,8,Rwd,Gas,Chevrolet,Tahoe,31760,39900,Clean,1,2017
Silver,Excellent,6,4Wd,Gas,Chevrolet,Trailblazer,180000,15000,Clean,1,2007
Grey,Excellent,6,Fwd,Gas,Jeep,Renegade,25000,13900,Rebuilt,1,2019
Black,Excellent,4,4Wd,Gas,Honda,Crv,76000,20000,Clean,1,2016
Silver,Good,4,Fwd,Gas,Nissan,Altima,154300,2350,Clean,1,2000
Red,Good,8,Rwd,Gas,Toyota,Camry,220000,6500,Clean,1,2008
White,Excellent,6,Rwd,Gas,Nissan,Maxima,76000,12500,Rebuilt,1,2016
White,Like New,4,Rwd,Gas,Toyota,Corolla,13000,18900,Rebuilt,1,2021
Blue,Excellent,6,4Wd,Gas,Jeep,Wrangler,77500,30000,Clean,1,2013
White,Excellent,4,Fwd,Gas,Chevrolet,Equinox,103000,5500,Clean,1,2008
White,Excellent,4,Rwd,Gas,Ford,Focus,150000,6800,Clean,1,2016
Grey,Like New,4,Fwd,Gas,Nissan,Versa,54000,13200,Rebuilt,1,2021
White,Excellent,6,Rwd,Gas,Nissan,Altima,148000,6500,Clean,1,2011
Black,Like New,4,4Wd,Diesel,Gmc,Canyon,9924,49000,Clean,1,2019
Red,Like New,6,4Wd,Gas,Ford,Ranger,127000,5800,Clean,1,2005
Black,Salvage,4,Fwd,Gas,Hyundai,Elantra,73000,5900,Salvage,1,2016
White,Like New,4,Fwd,Hybrid,Honda,Accord,1618,32700,Rebuilt,1,2022
Red,Excellent,8,4Wd,Gas,Gmc,Sierra,180000,6500,Clean,1,1993
Silver,Excellent,4,Rwd,Gas,Chevrolet,Malibu,110000,8800,Clean,1,2016
Black,Good,4,Fwd,Gas,Nissan,Sentra,170000,4000,Clean,1,2012
White,Good,8,Rwd,Gas,Bmw,328I,122000,7500,Clean,1,2010
Brown,Excellent,4,Rwd,Gas,Honda,Crv,116000,6900,Clean,1,2002
Custom,Excellent,8,Rwd,Gas,Mercedes,Sl500,81000,13900,Clean,1,2004
Custom,Excellent,6,Fwd,Gas,Honda,Accord,62000,15800,Clean,1,2011
Silver,Like New,4,Rwd,Gas,Pontiac,G6,37890,5990,Rebuilt,1,2007
Blue,Excellent,4,Fwd,Gas,Nissan,Versa,116000,5990,Clean,1,2014
Red,Excellent,6,4Wd,Gas,Jeep,Wrangler,96000,16550,Clean,1,2004
Blue,Excellent,4,Fwd,Hybrid,Toyota,Prius,150200,8950,Clean,1,2007
Grey,Excellent,8,Rwd,Gas,Chevrolet,Corvette,6834,50000,Clean,1,2018
White,Excellent,6,Rwd,Gas,Buick,Lacrosse,119937,5000,Clean,1,2007
Grey,Good,6,Rwd,Gas,Dodge,Dakota,160000,8900,Clean,1,2009
Silver,Fair,4,Fwd,Gas,Mitsubishi,Outlander,57000,14600,Clean,1,2018
White,Excellent,6,4Wd,Gas,Buick,Enclave,145000,6900,Clean,1,2011
Black,Good,6,4Wd,Gas,Jeep,Wrangler,111550,20000,Clean,1,2010
Silver,Excellent,6,4Wd,Gas,Jeep,Wrangler,109050,33000,Clean,1,2012
Green,Good,6,Rwd,Gas,Dodge,Charger,110000,19500,Clean,1,2019
Grey,Good,4,Fwd,Gas,Honda,Fit,137300,7500,Clean,1,2013
Grey,Like New,8,Rwd,Diesel,Ford,F550,75900,19900,Clean,0,1999
White,Excellent,8,Rwd,Gas,Ford,F250,130123,4500,Clean,1,2002
Grey,Good,6,Rwd,Gas,Lexus,Is250,175247,6500,Clean,1,2007
White,Excellent,8,4Wd,Diesel,Ford,F350,169500,24500,Clean,1,2003
Red,Good,6,4Wd,Gas,Nissan,Frontier,17000,34000,Clean,1,2016
Black,Excellent,6,Fwd,Gas,Acura,Tlx,18900,32200,Lien,1,2020
Black,Like New,4,Fwd,Gas,Toyota,Corolla,35000,10900,Rebuilt,1,2015
Black,Excellent,4,4Wd,Gas,Chevrolet,Spark,140000,5400,Clean,1,2013
White,Good,6,4Wd,Gas,Lexus,Is,77766,6000,Clean,1,2008
Silver,Like New,4,4Wd,Gas,Toyota,Camry,218102,4300,Clean,1,2004
White,Excellent,8,4Wd,Gas,Ford,F150,121000,7700,Clean,1,1997
Red,Excellent,4,4Wd,Gas,Audi,A4,216000,4999,Clean,0,2006
Silver,Good,4,Fwd,Gas,Mitsubishi,Outlander,99000,12500,Clean,1,2016
Silver,Excellent,4,Rwd,Gas,Toyota,Tacoma,260000,11500,Clean,1,2011
Orange,Excellent,6,4Wd,Gas,Dodge,Journey,114000,8900,Clean,1,2015
Blue,Good,6,Fwd,Gas,Toyota,Sienna,212000,8860,Clean,1,2010
Brown,Good,6,4Wd,Gas,Jeep,Wrangler,210000,11900,Clean,0,1999
Red,Excellent,4,Fwd,Gas,Dodge,Avenger,74000,5700,Rebuilt,1,2014
Black,Excellent,6,4Wd,Gas,Ford,F150,120000,25000,Clean,1,2016
Grey,Excellent,8,4Wd,Gas,Toyota,Tundra,98176,33000,Clean,1,2014
White,Excellent,4,Fwd,Hybrid,Toyota,Prius,134000,13898,Clean,1,2014
Silver,Fair,6,Fwd,Gas,Jeep,Liberty,150000,2000,Clean,1,2004
Silver,Excellent,4,Fwd,Gas,Toyota,Rav4,95000,13000,Clean,1,2010
Silver,Excellent,8,Rwd,Gas,Toyota,Corolla,92300,9500,Clean,1,2011
Red,Like New,6,Rwd,Gas,Ford,Mustang,69000,7000,Rebuilt,1,2007
White,Good,6,Fwd,Gas,Ford,F150,127000,13950,Clean,1,2016
White,Good,8,4Wd,Gas,Dodge,Durango,142000,5400,Clean,1,2006
Silver,Fair,4,4Wd,Gas,Subaru,Forester,220000,1900,Clean,1,2009
White,Like New,6,Fwd,Gas,Toyota,Camry,190000,3850,Clean,1,2002
Silver,Excellent,5,Fwd,Gas,Volvo,S60,115200,10500,Clean,1,2012
White,Excellent,6,4Wd,Diesel,Volkswagen,Touareg,74600,19000,Clean,1,2012
White,Excellent,8,4Wd,Gas,Chevrolet,Silverado,60000,40000,Clean,1,2018
White,Good,4,Rwd,Gas,Chevrolet,Colorado,109049,19000,Clean,1,2017
Black,Like New,8,Rwd,Gas,Ford,Mustang,5412,54900,Clean,0,2013
Grey,Excellent,6,Fwd,Gas,Nissan,Frontier,31900,28000,Clean,1,2019
Grey,Like New,4,Fwd,Gas,Honda,Civic,5089,30000,Clean,1,2022
White,Excellent,4,Fwd,Gas,Kia,Optima,146700,7500,Clean,1,2013
Black,Excellent,8,4Wd,Gas,Gmc,Yukon,57000,7500,Clean,1,2004
Grey,Excellent,4,Fwd,Gas,Dodge,Dart,110000,8000,Clean,1,2013
Silver,Like New,8,Rwd,Gas,Toyota,Sienna,75200,25800,Clean,1,2017
White,Fair,8,Rwd,Gas,Chevrolet,Silverado,257500,7000,Clean,1,2000
White,Excellent,6,Rwd,Gas,Chevrolet,Equinox,160000,4900,Clean,1,2008
Silver,Good,4,Fwd,Gas,Dodge,Journey,133000,9500,Clean,1,2017
Grey,Excellent,6,Rwd,Gas,Infiniti,G37,122050,12500,Clean,1,2010
Silver,Excellent,8,4Wd,Gas,Gmc,Yukon,164441,19800,Clean,1,2004
Grey,Good,4,Fwd,Gas,Nissan,Sentra,68000,8995,Rebuilt,1,2019
Black,Excellent,8,4Wd,Gas,Bmw,X5,74447,15900,Clean,1,2011
Silver,Good,4,Fwd,Gas,Chrysler,Sebring,150000,2800,Clean,1,2006
Black,Good,6,4Wd,Gas,Honda,Ridgeline,97000,15995,Rebuilt,1,2014
White,Excellent,8,Fwd,Gas,Dodge,Ram,87000,14500,Clean,1,2008
Blue,Good,4,4Wd,Gas,Subaru,Legacy,214000,2900,Clean,1,2010
Custom,Excellent,8,4Wd,Gas,Ford,F150,110000,22500,Clean,1,2010
Red,Excellent,4,4Wd,Gas,Jeep,Wrangler,114000,8900,Clean,0,2000
Custom,Excellent,4,Fwd,Gas,Chrysler,Pt,230000,3500,Clean,1,2010
White,Salvage,6,Rwd,Gas,Honda,Pilot,208000,1200,Clean,1,2003
Silver,Excellent,4,Fwd,Gas,Chevrolet,Malibu,51000,14500,Salvage,1,2020
White,Excellent,8,Rwd,Diesel,Chevrolet,Silverado,137300,25000,Clean,1,2003
Black,Like New,6,Fwd,Gas,Dodge,Journey,102729,9500,Clean,1,2015
Grey,Excellent,4,Fwd,Gas,Kia,Soul,68000,13000,Salvage,1,2018
Black,Excellent,4,Rwd,Gas,Cadillac,Cts,45000,13950,Rebuilt,1,2014
Brown,Good,6,4Wd,Gas,Toyota,Camry,200000,3000,Clean,1,2001
Black,Fair,8,Rwd,Gas,Dodge,Ram,184024,7100,Clean,1,2010
Silver,Excellent,4,Fwd,Hybrid,Toyota,Prius,156688,9999,Clean,1,2008
Blue,Good,4,Fwd,Gas,Toyota,Yaris,181000,3700,Rebuilt,1,2007
Black,Excellent,8,Rwd,Gas,Chevrolet,Suburban,177000,23500,Clean,1,2015
White,Good,4,Rwd,Gas,Volkswagen,Vanagon,210344,15000,Clean,0,1984
Brown,Good,4,Rwd,Gas,Honda,Civic,143703,8000,Clean,1,2013
White,Good,8,Rwd,Gas,Ford,F150,100000,4200,Clean,1,1998
Red,Like New,8,Rwd,Gas,Ford,Mustang,14200,42500,Clean,0,2013
Blue,Excellent,4,4Wd,Gas,Mitsubishi,Outlander,144404,7000,Clean,1,2012
Grey,Like New,6,Fwd,Gas,Toyota,Rav4,34500,29250,Clean,1,2020
Grey,Like New,4,Fwd,Gas,Volkswagen,Jetta,29000,14000,Salvage,1,2014
Blue,Like New,0,Rwd,Electric,Tesla,Model S,17900,50000,Clean,1,2018
Brown,Good,4,Fwd,Gas,Chevrolet,Cruze,165864,3950,Clean,1,2012
Blue,Like New,4,Fwd,Gas,Acura,Tsx,105890,14999,Clean,1,2011
White,Good,8,Rwd,Gas,Ford,F150,211000,5000,Clean,1,2002
Green,Excellent,8,4Wd,Gas,Toyota,Sequoia,206900,13800,Clean,1,2008
Blue,Excellent,8,4Wd,Gas,Ford,F150,120000,18800,Clean,1,2013
White,Good,4,Fwd,Gas,Honda,Civic,149000,4400,Clean,1,2004
Silver,Excellent,8,4Wd,Gas,Chevrolet,Trailblazer,180000,15000,Clean,1,2007
Brown,Excellent,8,Rwd,Gas,Toyota,Sequoia,149600,20500,Clean,1,2012
White,Fair,4,Fwd,Gas,Volkswagen,Jetta,83000,3900,Clean,1,2000
White,Excellent,8,Rwd,Gas,Chevrolet,Silverado,318000,8625,Clean,1,1997
White,Like New,4,4Wd,Gas,Volkswagen,Golf,127000,14250,Rebuilt,1,2017
White,Fair,6,Rwd,Gas,Dodge,Caravan,200000,1200,Clean,1,2006
Black,Good,4,4Wd,Gas,Land Rover,Range Rover,206000,5000,Clean,1,2006
Black,Excellent,6,4Wd,Gas,Jeep,Wrangler,91000,29500,Clean,1,1998
Yellow,Excellent,4,Fwd,Gas,Ford,Focus,136000,3400,Clean,1,2003
Silver,Excellent,4,Fwd,Gas,Nissan,Rogue,70000,17900,Clean,1,2017
Grey,Excellent,8,4Wd,Gas,Land Rover,Range Rover,61330,47900,Clean,1,2014
Blue,Excellent,3,Fwd,Gas,Smart,Fortwo,160000,1500,Rebuilt,1,2009
Black,Good,4,Fwd,Gas,Jeep,Wrangler,130000,20000,Clean,1,2007
Yellow,Good,6,4Wd,Diesel,Ford,F250,207000,16500,Clean,1,2003
Grey,Excellent,4,Fwd,Gas,Nissan,Sentra,31200,12000,Rebuilt,1,2019
Green,Excellent,6,Fwd,Gas,Acura,Mdx,103000,17150,Clean,1,2014
Black,Like New,8,Rwd,Gas,Chevrolet,Equinox,64734,24600,Clean,1,2019
White,Excellent,8,4Wd,Gas,Chevrolet,Silverado,199000,6900,Clean,1,2001
Red,Excellent,6,Fwd,Gas,Chevrolet,Impala,136000,7400,Clean,1,2013
Black,Excellent,4,Fwd,Gas,Ford,Focus,131000,5900,Clean,1,2013
Blue,Excellent,8,Rwd,Gas,Ford,Crown,139000,4400,Clean,1,2004
White,Fair,4,Fwd,Gas,Kia,Optima,184444,6000,Clean,1,2013
Silver,Excellent,4,Fwd,Gas,Mazda,3,121000,6900,Clean,1,2012
White,Good,4,Fwd,Gas,Ford,Escape,115243,9400,Clean,1,2013
Black,Excellent,4,Fwd,Gas,Chevrolet,Equinox,110000,6700,Clean,1,2010
Silver,Good,4,Fwd,Hybrid,Toyota,Prius,120400,6800,Clean,1,2005
Silver,Good,4,Fwd,Gas,Nissan,Rogue,140262,9600,Clean,1,2016
Grey,Excellent,6,4Wd,Gas,Jeep,Cherokee,115176,18500,Clean,1,2018
Silver,Excellent,4,Fwd,Gas,Dodge,Avenger,92000,6900,Clean,1,2013
Black,Like New,8,Rwd,Gas,Porsche,Cayenne,45129,23600,Clean,1,2016
Silver,Good,4,Fwd,Gas,Toyota,Camry,190000,3500,Clean,1,2003
White,Excellent,6,Fwd,Gas,Chevrolet,Traverse,132000,6900,Clean,1,2009
White,Good,4,Rwd,Gas,Ford,Fusion,98068,9400,Clean,1,2016
Silver,Excellent,4,4Wd,Gas,Chevrolet,Equinox,10500,27000,Clean,1,2022
White,Excellent,8,Rwd,Gas,Chevrolet,Silverado,94000,15000,Clean,1,1993
White,Excellent,6,4Wd,Gas,Jeep,Liberty,145000,6900,Clean,1,2012
Silver,Good,4,Fwd,Gas,Mini Cooper,S,103200,8800,Clean,0,2010
White,Good,4,Fwd,Hybrid,Ford,Fusion,108000,10900,Clean,1,2015
Black,Excellent,6,Rwd,Gas,Infiniti,G35,148000,5700,Rebuilt,1,2007
Blue,Good,6,4Wd,Gas,Lexus,Rx,195000,5800,Clean,1,2004
Brown,Excellent,8,4Wd,Gas,Cadillac,Escalade,188000,11600,Clean,1,2007
Grey,Excellent,8,Rwd,Gas,Toyota,Tundra,168000,15900,Clean,1,2008
White,Excellent,6,Fwd,Gas,Toyota,Tacoma,60000,30500,Clean,1,2018
Black,Excellent,8,Rwd,Gas,Ford,F150,300000,5800,Clean,1,2001
Black,Like New,6,Rwd,Gas,Infiniti,G37,91000,12500,Salvage,1,2011
Black,Excellent,4,Fwd,Gas,Honda,Civic,55000,13500,Rebuilt,1,2017
White,Excellent,8,4Wd,Gas,Chevrolet,Suburban,145000,19000,Clean,1,2012
White,Fair,6,4Wd,Diesel,Dodge,Ram,213000,22000,Clean,1,2010
White,Excellent,4,Fwd,Gas,Ford,Fusion,99000,10000,Clean,1,2016
Black,Good,4,Fwd,Gas,Chevrolet,Cruze,130359,8200,Clean,1,2017
Silver,Excellent,8,4Wd,Gas,Dodge,Charger,103000,18500,Clean,1,2016
Silver,Good,4,Fwd,Gas,Ford,Focus,100350,5800,Clean,1,2012
Black,Good,4,Fwd,Gas,Volkswagen,Golf,78000,21500,Clean,1,2019
Red,Salvage,6,Fwd,Gas,Pontiac,Grand,190000,1500,Clean,1,2005
White,Excellent,4,Fwd,Gas,Ford,E450,46000,45000,Clean,1,2000
White,Good,6,Fwd,Gas,Buick,Lacrosse,76164,10650,Clean,1,2010
Silver,Excellent,6,Rwd,Gas,Bmw,M3,125800,24400,Clean,0,2002
Black,Excellent,4,Fwd,Gas,Chevrolet,Equinox,179550,5790,Clean,1,2011
Grey,Fair,6,Rwd,Gas,Nissan,Versa,163891,2800,Clean,0,2008
Black,Excellent,6,Fwd,Gas,Pontiac,G6,133000,3800,Clean,1,2007
Silver,Good,8,4Wd,Gas,Lexus,Rx,134700,6900,Clean,1,2004
